PLAYER;SALARY
Precious Achiuwa;$2,582,160 
Jaylen Adams;$449,115
Steven Adams;$29,592,695 
Bam Adebayo;$5,115,492 
LaMarcus Aldridge;$16,750,000
Ty-Shon Alexander;$449,115
Nickeil Alexander-Walker;$3,113,160 
Grayson Allen;$2,545,320 
Jarrett Allen;$3,909,902 
Al-Farouq Aminu;$9,720,900 
Kyle Anderson;$9,505,100 
Giannis Antetokounmpo;$27,528,088 
Kostas Antetokounmpo;$449,115
Thanasis Antetokounmpo;$1,701,593 
Carmelo Anthony;$1,620,564 
Cole Anthony;$3,285,120 
Ogugua Anunoby;$3,872,215 
Ryan Arcidiacono;$3,000,000 
Trevor Ariza;$12,800,000 
D.J. Augustin;$6,666,667 
Deni Avdija;$4,469,160 
Deandre Ayton;$10,018,200 
Udoka Azubuike;$1,977,000 
Dwayne Bacon;$1,678,854 
Marvin Bagley III;$8,963,640 
LaMelo Ball;$7,839,960 
Lonzo Ball;$11,003,782 
Mohamed Bamba;$5,969,040 
Desmond Bane;$1,936,440 
Harrison Barnes;$22,215,909 
R.J. Barrett;$8,231,760 
Will Barton;$13,723,214 
Keita Bates-Diop;$449,115
Nicolas Batum;$1,620,564 
Aron Baynes;$7,000,000 
Kent Bazemore;$1,620,564 
Darius Bazley;$2,399,160 
Bradley Beal;$28,751,774 
Malik Beasley;$13,425,895 
Jordan Bell;$110,998 
DeAndre' Bembry;$1,737,145 
Davis Bertans;$15,000,000 
Patrick Beverley;$13,333,333 
Saddiq Bey;$2,689,920 
Tyler Bey;$449,115
Khem Birch;$410,691 
Goga Bitadze;$2,957,520 
Bismack Biyombo;$3,500,000 
Nemanja Bjelica;$7,150,000 
Eric Bledsoe;$16,875,000 
Keljin Blevins;$449,115
Bogdan Bogdanovic;$18,000,000 
Bojan Bogdanovic;$17,850,000 
Bol Bol;$2,058,240 
Marques Bolden;$449,115
Jordan Bone;$135,350
Isaac Bonga;$1,663,861 
Devin Booker;$29,467,800 
Chris Boucher;$6,500,000 
Brian Bowen II;$375,321
Avery Bradley;$5,635,000 
Tony Bradley;$3,542,060 
Jarrell Brantley;$510,586
Ignas Brazdeikis;$99,020 
Mikal Bridges;$4,359,000 
Miles Bridges;$3,934,320 
Amida Brimah;$123,056
OShae Brissett;$757,453 
Malcolm Brogdon;$20,700,000 
Armoni Brooks;$135,362
Dillon Brooks;$11,400,000 
Charlie Brown;$99,020 
Jaylen Brown;$23,437,500 
Bruce Brown, Jr.;$1,663,861 
Troy Brown, Jr.;$3,372,840 
Moses Brown;$1,250,000 
Sterling Brown;$1,620,564 
Jalen Brunson;$1,663,861 
Elijah Bryant;$24,611 
Thomas Bryant;$8,333,333 
Reggie Bullock;$4,200,000 
Trey Burke;$3,000,000 
Alec Burks;$6,000,000 
Jimmy Butler;$34,379,100 
Bruno Caboclo;$2,028,594
Devontae Cacok;$449,115
Kentavious Caldwell-Pope;$12,073,020 
Facundo Campazzo;$3,200,000 
Vlatko Cancar;$1,517,981 
Devin Cannady;$61,528 
Clint Capela;$17,500,000 
Vernon Carey, Jr.;$1,350,000 
Jevon Carter;$3,925,000 
Wendell Carter, Jr.;$5,448,840 
Michael Carter-Williams;$3,300,000 
Alex Caruso;$2,750,000 
Willie Cauley-Stein;$4,100,000 
Chris Chiozza;$449,115
Marquese Chriss;$1,824,003
Gary Clark;$2,000,000
Brandon Clarke;$2,602,920 
Jordan Clarkson;$11,500,000 
Nicolas Claxton;$1,517,981 
Amir Coffey;$578,842
John Collins;$4,137,302 
Mike Conley;$34,502,132 
Pat Connaughton;$4,938,273 
Quinn Cook;$110,998 
Tyler Cook;$396,081 
DeMarcus Cousins;$233,095 
Robert Covington;$12,138,345 
Torrey Craig;$1,620,564 
Jae Crowder;$9,258,000 
Jarrett Culver;$6,104,280 
Seth Curry;$7,834,449 
Stephen Curry;$43,006,362 
Nate Darling;$449,115
Anthony Davis;$32,742,000 
Ed Davis;$5,005,350 
Terence Davis;$1,517,981 
DeMar DeRozan;$27,739,975 
Gabriel Deck;$3,870,370 
Dewayne Dedmon;$432,890 
Matt Dellavedova;$1,620,564 
Donte DiVincenzo;$3,044,160 
Mamadi Diakite;$160,173 
Hamidou Diallo;$1,663,861 
Gorgui Dieng;$1,000,000 
Spencer Dinwiddie;$11,454,048 
Luka Doncic;$8,049,360 
Luguentz Dort;$1,517,981 
Damyean Dotson;$2,000,000 
Devon Dotson;$449,115
Sekou Doumbouya;$3,449,400 
P.J. Dozier;$1,762,796 
Goran Dragic;$18,000,000 
Andre Drummond;$554,988 
Jared Dudley;$1,620,564 
Kris Dunn;$4,767,000 
Kevin Durant;$40,108,950 
Anthony Edwards;$9,757,440 
Carsen Edwards;$1,517,981 
C.J. Elleby;$898,310 
Henry Ellenson;$110,998 
Wayne Ellington;$1,620,564 
Joel Embiid;$29,542,010 
